epoch | train_loss | train_acc | val_loss | val_acc
0 | 0.23069394600612145 | 0.9295428240740741 | 0.21754787611961365 | 0.941
1 | 0.11954494455346355 | 0.9618055555555556 | 0.11523779785633087 | 0.961
2 | 0.07290458575718933 | 0.9794560185185185 | 0.07552227568626403 | 0.9755
3 | 0.04840131821455779 | 0.9859664351851852 | 0.06815577864646911 | 0.982
4 | 0.038869999797531855 | 0.9901620370370371 | 0.06763163790106773 | 0.979
5 | 0.04276088521712356 | 0.9868344907407407 | 0.08124482759833336 | 0.974
6 | 0.024535817525315064 | 0.9936342592592593 | 0.050242841720581057 | 0.9845
7 | 0.01214859539349736 | 0.9975405092592593 | 0.05675542937219143 | 0.9805
8 | 0.011014387934227233 | 0.9975405092592593 | 0.05018457359075546 | 0.984
9 | 0.0064487173480706084 | 0.9988425925925926 | 0.06067574003338814 | 0.982
10 | 0.004539522207643905 | 0.9995659722222222 | 0.05576920300722122 | 0.986
11 | 0.009064710326061619 | 0.9975405092592593 | 0.06942197546362877 | 0.9805
12 | 0.001641741340453909 | 1.0 | 0.04675471106171608 | 0.985
13 | 0.0008746917268985675 | 1.0 | 0.053177621848881244 | 0.9865
14 | 0.0006014858663547784 | 1.0 | 0.05187210973352194 | 0.9855
15 | 0.0004556530095416949 | 1.0 | 0.05192781793512404 | 0.987
16 | 0.000397851603069015 | 1.0 | 0.0508446906208992 | 0.986
17 | 0.00032928435730691827 | 1.0 | 0.05364714531227946 | 0.9855
18 | 0.000296968641729715 | 1.0 | 0.05495289832353592 | 0.9855
19 | 0.00026251936173206624 | 1.0 | 0.055284878358244895 | 0.9865
20 | 0.00024271624298072075 | 1.0 | 0.05463567147962749 | 0.986
21 | 0.00021460901162181808 | 1.0 | 0.05555124448984861 | 0.9855
22 | 0.00019863286353130307 | 1.0 | 0.057204486072063444 | 0.985
23 | 0.00018022087297814087 | 1.0 | 0.056440852999687194 | 0.985
24 | 0.00017061512793319438 | 1.0 | 0.056931402161717416 | 0.9855
25 | 0.00015280992677920344 | 1.0 | 0.057003368322271854 | 0.9865
26 | 0.00013916932032400468 | 1.0 | 0.05844029649463482 | 0.9865
27 | 0.00013108270865847804 | 1.0 | 0.05853405210375786 | 0.9855
28 | 0.00012437423376670468 | 1.0 | 0.058906277388334274 | 0.9855
29 | 0.00011422313824975087 | 1.0 | 0.05966581720858812 | 0.9845
