epoch | classifier_loss | classifier_acc | source_val_loss | source_val_acc | target_val_loss | target_val_acc | critic_loss
0 | 2.245587300816807 | 0.1913704128440367 | 2.24521630859375 | 0.199 | 2.293864625930786 | 0.1325 | 673.3365478515625
1 | 2.2117280369504875 | 0.19552752293577982 | 2.151296751022339 | 0.1985 | 2.2919221515655517 | 0.1195 | -61.88229751586914
2 | 2.048056256880454 | 0.27522935779816515 | 1.813467017173767 | 0.4065 | 2.0642420082092285 | 0.246 | -125.25575256347656
3 | 1.653827788632944 | 0.4617259174311927 | 1.4272131261825562 | 0.5235 | 2.0758391857147216 | 0.318 | -423.03521728515625
4 | 1.318222923563161 | 0.5792717889908257 | 1.179385396003723 | 0.6305 | 2.113150951385498 | 0.3265 | -622.9060668945312
5 | 1.0544076638484219 | 0.6823394495412844 | 0.9962878122329711 | 0.7095 | 2.2282136249542237 | 0.32 | -721.8931274414062
6 | 0.8810469267565176 | 0.7348050458715596 | 0.8546386713981629 | 0.7535 | 2.1268183269500733 | 0.3505 | -732.3148803710938
7 | 0.7824990650929442 | 0.7726490825688074 | 0.8333717432022095 | 0.7565 | 2.1685100555419923 | 0.332 | -708.6311645507812
8 | 0.7140558110464603 | 0.7892775229357798 | 0.7855646424293518 | 0.77 | 2.2359652347564696 | 0.3285 | -688.0240478515625
9 | 0.6633805124037856 | 0.8080561926605505 | 0.7466655871868133 | 0.7875 | 2.1574074382781983 | 0.3505 | -677.3858032226562
10 | 0.632264324011059 | 0.8100630733944955 | 0.7198723773956299 | 0.7915 | 2.23283988571167 | 0.348 | -642.015625
11 | 0.5987845962747521 | 0.8211009174311926 | 0.6913859853744507 | 0.796 | 2.1212711067199708 | 0.3665 | -622.1663208007812
12 | 0.5674582536614269 | 0.8258314220183486 | 0.6841037490367889 | 0.8015 | 2.1726801071166992 | 0.368 | -599.4212036132812
13 | 0.5533337874696889 | 0.8341456422018348 | 0.6849624083042145 | 0.802 | 2.227251344680786 | 0.3385 | -577.6882934570312
14 | 0.5338568039443514 | 0.8372993119266054 | 0.6659883527755738 | 0.81 | 2.2655712108612063 | 0.359 | -561.7304077148438
15 | 0.5160548208503548 | 0.841743119266055 | 0.6639521541595459 | 0.8065 | 2.184354984283447 | 0.372 | -551.1332397460938
16 | 0.5014224951967187 | 0.8477637614678899 | 0.6501095724105835 | 0.8105 | 2.413152017593384 | 0.3305 | -532.634765625
17 | 0.49143021615273363 | 0.8483371559633027 | 0.681785943031311 | 0.7995 | 2.278613953590393 | 0.3465 | -526.9132080078125
18 | 0.47752831507166593 | 0.8555045871559633 | 0.6535274410247802 | 0.8115 | 2.521087656021118 | 0.3265 | -507.4594421386719
19 | 0.464156651442204 | 0.8598050458715596 | 0.639348373889923 | 0.8035 | 2.3967085609436034 | 0.3535 | -501.4001770019531
20 | 0.45430882042701093 | 0.8589449541284404 | 0.6399162335395813 | 0.8105 | 2.2062238903045652 | 0.3835 | -483.3461608886719
21 | 0.4450813466255818 | 0.8655389908256881 | 0.6396930198669434 | 0.81 | 2.394349067687988 | 0.33 | -477.1741027832031
22 | 0.4381784542438087 | 0.8645355504587156 | 0.6317039022445678 | 0.8145 | 2.6621800518035887 | 0.3265 | -461.60137939453125
23 | 0.4278593332669057 | 0.8704128440366973 | 0.6431013102531433 | 0.812 | 2.3940647869110108 | 0.3235 | -454.8744201660156
24 | 0.41862605730874825 | 0.8706995412844036 | 0.6183621616363525 | 0.8135 | 2.5749236850738524 | 0.345 | -458.4931335449219
25 | 0.4121840028861247 | 0.8735665137614679 | 0.6329041390419007 | 0.816 | 2.6722417736053465 | 0.323 | -441.4819641113281
26 | 0.3981647691048613 | 0.880447247706422 | 0.645355718255043 | 0.805 | 2.3368014278411864 | 0.3665 | -446.6441650390625
27 | 0.39462474549035415 | 0.8785837155963303 | 0.6348006176948547 | 0.808 | 2.524831241607666 | 0.3115 | -436.48077392578125
28 | 0.38701307732577717 | 0.879730504587156 | 0.6391116778850555 | 0.8095 | 2.684221290588379 | 0.3485 | -427.1050109863281
29 | 0.3749022360788573 | 0.8857511467889908 | 0.6355722398757935 | 0.811 | 2.4737232151031496 | 0.351 | -428.02227783203125
30 | 0.36937645091376176 | 0.8847477064220184 | 0.6306337060928344 | 0.8115 | 2.546945697784424 | 0.311 | -426.57843017578125
31 | 0.363691700434466 | 0.8897649082568807 | 0.6252167975902557 | 0.812 | 2.4018140964508055 | 0.368 | -416.4705505371094
32 | 0.35726203981342664 | 0.8900516055045872 | 0.6368308038711548 | 0.8165 | 2.7534049243927003 | 0.3135 | -410.5362243652344
33 | 0.35062661985738564 | 0.8936353211009175 | 0.6388410930633545 | 0.8125 | 2.597160596847534 | 0.3525 | -401.67083740234375
34 | 0.3425726667730086 | 0.8967889908256881 | 0.6311333320140838 | 0.81 | 2.591165933609009 | 0.345 | -398.8750305175781
35 | 0.3373757432633584 | 0.8957855504587156 | 0.6288084921836853 | 0.8105 | 2.530326144218445 | 0.36 | -395.0415344238281
36 | 0.3304475299808957 | 0.8970756880733946 | 0.6341303811073303 | 0.818 | 2.7913362827301027 | 0.3475 | -388.905517578125
37 | 0.3252974415044172 | 0.9005160550458715 | 0.6202609267234802 | 0.8155 | 2.532163812637329 | 0.377 | -395.84954833984375
38 | 0.32191137996835445 | 0.9026662844036697 | 0.6459147562980652 | 0.8105 | 2.642504632949829 | 0.356 | -381.62420654296875
39 | 0.3130265307535819 | 0.9040997706422018 | 0.632283016204834 | 0.812 | 2.9039284563064576 | 0.3375 | -383.5871276855469
40 | 0.3077891125864939 | 0.90625 | 0.6416753625869751 | 0.818 | 2.640982349395752 | 0.4 | -379.5616760253906
41 | 0.29961927946007577 | 0.9121272935779816 | 0.6627116584777832 | 0.8095 | 2.9063774375915528 | 0.337 | -374.1318664550781
42 | 0.2970562400210888 | 0.9101204128440367 | 0.6538760213851929 | 0.8105 | 2.676253005981445 | 0.3645 | -377.322265625
43 | 0.29503127973560894 | 0.9127006880733946 | 0.6511118745803833 | 0.81 | 2.623950117111206 | 0.3655 | -373.8118591308594
44 | 0.28682845010669955 | 0.916427752293578 | 0.6549090709686279 | 0.8125 | 2.92181103515625 | 0.3455 | -371.0294494628906
45 | 0.2774595383793936 | 0.9178612385321101 | 0.6566695432662963 | 0.812 | 2.865496971130371 | 0.3785 | -369.657958984375
46 | 0.28071311355457396 | 0.9174311926605505 | 0.6498286357522011 | 0.82 | 2.771389055252075 | 0.3625 | -372.2230529785156
47 | 0.27049270914782075 | 0.9184346330275229 | 0.6589190235137939 | 0.814 | 3.0701793575286866 | 0.356 | -366.3282165527344
48 | 0.27176740047855114 | 0.9162844036697247 | 0.6630649590492248 | 0.815 | 2.9835797538757323 | 0.3885 | -363.7551574707031
49 | 0.26268232914559336 | 0.9228784403669725 | 0.6587013186216354 | 0.8175 | 3.114459131240845 | 0.3375 | -371.05657958984375
50 | 0.25646165758371353 | 0.9254587155963303 | 0.6734840952157974 | 0.8125 | 3.121115602493286 | 0.3605 | -357.6123962402344
51 | 0.24806431079402977 | 0.9260321100917431 | 0.6587641253471375 | 0.8215 | 3.318242082595825 | 0.33 | -360.20428466796875
52 | 0.24488458932813154 | 0.9297591743119266 | 0.6630779371261597 | 0.814 | 3.2567177143096924 | 0.3515 | -358.5953063964844
53 | 0.2430750912892709 | 0.9290424311926605 | 0.6721643121242523 | 0.815 | 3.5293724365234374 | 0.3365 | -353.34722900390625
54 | 0.23267591884786928 | 0.9346330275229358 | 0.6775634663105011 | 0.803 | 3.714247688293457 | 0.3045 | -362.4246826171875
55 | 0.22917218547348583 | 0.9336295871559633 | 0.674399151802063 | 0.815 | 3.408825006484985 | 0.3215 | -351.6898193359375
56 | 0.23059485832212168 | 0.9336295871559633 | 0.6718678014278412 | 0.817 | 3.330025968551636 | 0.3525 | -349.2586669921875
57 | 0.2191096496417982 | 0.934776376146789 | 0.6920089044570923 | 0.8165 | 3.355748659133911 | 0.385 | -350.631103515625
58 | 0.2221373404384753 | 0.9366399082568807 | 0.6958382034301758 | 0.817 | 3.425714115142822 | 0.351 | -354.8095703125
59 | 0.21532318932474206 | 0.9372133027522935 | 0.7006740818023681 | 0.8145 | 3.8645789222717286 | 0.352 | -350.3379211425781
60 | 0.2103517888062591 | 0.9389334862385321 | 0.7080042719841003 | 0.816 | 3.890787622451782 | 0.351 | -352.9158630371094
61 | 0.20829481652023596 | 0.9399369266055045 | 0.7005693603754044 | 0.8185 | 3.4886162834167482 | 0.3435 | -357.1008605957031
62 | 0.20182379089090802 | 0.9439506880733946 | 0.6955817408561706 | 0.815 | 3.8756744365692137 | 0.333 | -352.0516662597656
63 | 0.19819763309638436 | 0.9435206422018348 | 0.7147044763565064 | 0.8165 | 3.7437999000549316 | 0.342 | -352.0760192871094
64 | 0.19962615581280593 | 0.9443807339449541 | 0.71614346408844 | 0.8125 | 3.6798336124420166 | 0.3345 | -350.9585266113281
65 | 0.19300060667986169 | 0.9439506880733946 | 0.7287117071151733 | 0.811 | 3.857191884994507 | 0.343 | -351.2237548828125
66 | 0.18707093124816176 | 0.9468176605504587 | 0.7156322116851807 | 0.816 | 3.7412976913452147 | 0.3235 | -349.721435546875
67 | 0.17965044101717276 | 0.9515481651376146 | 0.7343618564605713 | 0.8085 | 3.5005015754699706 | 0.3555 | -350.0379638671875
68 | 0.18298689081171238 | 0.9486811926605505 | 0.7455671467781066 | 0.8175 | 3.815287853240967 | 0.366 | -346.27105712890625
69 | 0.17665461874609695 | 0.9512614678899083 | 0.7268631391525269 | 0.8175 | 3.8255922584533693 | 0.357 | -350.7274169921875
70 | 0.17471760333678044 | 0.9492545871559633 | 0.7383305211067199 | 0.8105 | 3.5833927040100098 | 0.36 | -347.5475769042969
71 | 0.16916720227364007 | 0.9539850917431193 | 0.7448744297027587 | 0.8145 | 3.708499004364014 | 0.338 | -345.5135498046875
72 | 0.16596569565184618 | 0.9555619266055045 | 0.7612271394729614 | 0.801 | 4.0867630462646485 | 0.332 | -349.3670959472656
73 | 0.16272723462876923 | 0.9547018348623854 | 0.7694012932181359 | 0.813 | 4.151294887542725 | 0.34 | -347.7204284667969
74 | 0.1590052222781772 | 0.9571387614678899 | 0.7593593497276306 | 0.814 | 4.0593676815032955 | 0.3455 | -341.4169616699219
75 | 0.15797032603840216 | 0.9569954128440367 | 0.75511164188385 | 0.8165 | 4.238532855987549 | 0.3355 | -348.227294921875
76 | 0.1540668444759255 | 0.9592889908256881 | 0.7835534567832947 | 0.8065 | 3.9194375038146974 | 0.3335 | -339.3162536621094
77 | 0.14852941947040754 | 0.961295871559633 | 0.7696326537132263 | 0.8145 | 4.2868374176025394 | 0.3335 | -342.7301330566406
78 | 0.14637577448279485 | 0.9608658256880734 | 0.767775785446167 | 0.8115 | 4.2994554271698 | 0.335 | -344.3574523925781
79 | 0.14248566749856012 | 0.964019495412844 | 0.785099291563034 | 0.814 | 4.082842872619629 | 0.373 | -344.8685607910156
80 | 0.13871157056558023 | 0.9635894495412844 | 0.7999317359924316 | 0.8 | 4.322054992675781 | 0.3125 | -341.927978515625
81 | 0.14122307761956793 | 0.9620126146788991 | 0.7764355988502503 | 0.8085 | 4.000610395431519 | 0.3385 | -348.26593017578125
82 | 0.13396298864839273 | 0.9635894495412844 | 0.7972733821868897 | 0.813 | 4.251444488525391 | 0.356 | -343.6423034667969
83 | 0.13065333172268823 | 0.9650229357798165 | 0.8177032771110535 | 0.81 | 4.848699787139893 | 0.311 | -343.2111511230469
84 | 0.12699139736797832 | 0.9684633027522935 | 0.8072089128494263 | 0.8105 | 4.254018009185791 | 0.3325 | -347.6176452636719
85 | 0.12531402380709802 | 0.9683199541284404 | 0.8229511399269104 | 0.814 | 4.3157960891723635 | 0.34 | -341.72412109375
86 | 0.11993905970262825 | 0.970756880733945 | 0.8182001881599427 | 0.81 | 4.342533790588379 | 0.3525 | -343.0653991699219
87 | 0.11491413209416451 | 0.9719036697247706 | 0.8348261198997498 | 0.8115 | 4.345246685028076 | 0.342 | -344.58184814453125
