epoch | classifier_loss | classifier_acc | source_val_loss | source_val_acc | target_val_loss | target_val_acc | critic_loss
0 | 2.2385345423987153 | 0.18936353211009174 | 2.2252846660614014 | 0.274 | 2.3216454467773437 | 0.178 | 1879.57470703125
1 | 2.121500776448381 | 0.2497133027522936 | 1.9203369073867798 | 0.3385 | 2.049097586631775 | 0.2255 | 714.3974609375
2 | 1.7874512519311467 | 0.39291857798165136 | 1.6480733776092529 | 0.495 | 1.8638563718795775 | 0.3735 | -953.1030883789062
3 | 1.3900840287908502 | 0.5600630733944955 | 1.1790151715278625 | 0.625 | 1.8179985313415528 | 0.443 | -842.3504028320312
4 | 1.03694570173911 | 0.6962442660550459 | 0.9616092019081116 | 0.7135 | 1.5998587999343872 | 0.4735 | -932.88330078125
5 | 0.857267162121764 | 0.7511467889908257 | 0.8511070637702942 | 0.7365 | 1.9219404220581056 | 0.4455 | -884.811767578125
6 | 0.7577662101579369 | 0.7756594036697247 | 0.7895702657699585 | 0.776 | 1.6381063413619996 | 0.474 | -833.3444213867188
7 | 0.6843460636948226 | 0.8063360091743119 | 0.739075689792633 | 0.7735 | 1.9197998580932618 | 0.447 | -787.1634521484375
8 | 0.6296137191286875 | 0.8192373853211009 | 0.7063238077163696 | 0.7995 | 1.4623974332809448 | 0.544 | -776.8241577148438
9 | 0.5936625824062103 | 0.828125 | 0.6450065689086915 | 0.8135 | 1.566488317489624 | 0.54 | -720.036865234375
10 | 0.5554064156812265 | 0.8405963302752294 | 0.6747872605323791 | 0.8045 | 1.6087699422836303 | 0.494 | -687.9743041992188
11 | 0.5247096206070087 | 0.848480504587156 | 0.6452342357635498 | 0.8085 | 1.8038928451538085 | 0.478 | -686.215087890625
12 | 0.5005369235616212 | 0.856651376146789 | 0.6194323434829712 | 0.8165 | 1.6692328815460205 | 0.5245 | -659.1637573242188
13 | 0.47784712254454237 | 0.8622419724770642 | 0.6140486936569214 | 0.822 | 1.6746911163330078 | 0.505 | -644.0234985351562
14 | 0.4573283129875813 | 0.8676892201834863 | 0.5992444958686829 | 0.8265 | 1.7821624202728272 | 0.5015 | -646.191162109375
15 | 0.43854184653780875 | 0.8754300458715596 | 0.5979996862411499 | 0.8325 | 1.7911256465911864 | 0.4895 | -618.1734619140625
16 | 0.42244646869121344 | 0.880447247706422 | 0.6022992839813233 | 0.826 | 1.8167193851470946 | 0.4975 | -590.5482788085938
17 | 0.4057834678833638 | 0.8841743119266054 | 0.598487988114357 | 0.824 | 1.7480678071975708 | 0.501 | -658.4210205078125
18 | 0.3870399048842421 | 0.8887614678899083 | 0.5880781116485596 | 0.826 | 1.8850245304107667 | 0.4895 | -592.1672973632812
19 | 0.3724082758940688 | 0.8907683486238532 | 0.5924060153961181 | 0.827 | 1.8644713706970215 | 0.4845 | -559.7005004882812
20 | 0.36119799685040743 | 0.8975057339449541 | 0.5900675439834595 | 0.8305 | 2.0635246200561523 | 0.4615 | -532.3680419921875
21 | 0.3363114276883799 | 0.9040997706422018 | 0.6029383788108825 | 0.821 | 2.256334363937378 | 0.443 | -516.0361938476562
22 | 0.33164804011856747 | 0.9072534403669725 | 0.604498188316822 | 0.822 | 1.8474172611236572 | 0.4955 | -532.5930786132812
23 | 0.3185005340417591 | 0.9095470183486238 | 0.6105044054985046 | 0.8235 | 1.845905101776123 | 0.505 | -522.0667114257812
24 | 0.3052655548677532 | 0.9147075688073395 | 0.6085267348289489 | 0.8225 | 2.1463712215423585 | 0.4725 | -549.3103637695312
25 | 0.293867367259953 | 0.9180045871559633 | 0.6076848878860474 | 0.8255 | 2.0080156745910647 | 0.466 | -562.8843383789062
26 | 0.2834216693945981 | 0.9215883027522935 | 0.5884029421806335 | 0.8285 | 2.038675003051758 | 0.4625 | -540.4508666992188
27 | 0.27111912778484715 | 0.9271788990825688 | 0.5944978165626525 | 0.826 | 2.11186784362793 | 0.4685 | -557.0071411132812
28 | 0.268789561516648 | 0.9233084862385321 | 0.6084723739624024 | 0.8315 | 2.1805751399993896 | 0.49 | -531.4420776367188
29 | 0.2512911801491309 | 0.9278956422018348 | 0.6085354957580567 | 0.833 | 1.944536008834839 | 0.5195 | -574.757568359375
30 | 0.242231896711052 | 0.9343463302752294 | 0.6570725688934326 | 0.8165 | 2.4077006092071533 | 0.4315 | -509.6750183105469
31 | 0.24331662277562902 | 0.9340596330275229 | 0.61676455950737 | 0.8235 | 2.003703971862793 | 0.4965 | -519.2457885742188
32 | 0.2284417122329047 | 0.9380733944954128 | 0.6184839508533477 | 0.824 | 2.1821759071350098 | 0.483 | -537.1121215820312
33 | 0.22517449162695385 | 0.9407970183486238 | 0.6345758700370788 | 0.8205 | 2.134398250579834 | 0.4535 | -480.5475769042969
34 | 0.21247940763421014 | 0.9403669724770642 | 0.6416818351745606 | 0.8195 | 2.2566661586761474 | 0.477 | -493.857666015625
35 | 0.20713082167806976 | 0.942947247706422 | 0.6268268001079559 | 0.82 | 2.305382354736328 | 0.463 | -456.00079345703125
36 | 0.19158051361184603 | 0.9528383027522935 | 0.6443125731945037 | 0.824 | 2.4908422832489014 | 0.432 | -487.2296142578125
37 | 0.1893421879055303 | 0.9518348623853211 | 0.6517296857237815 | 0.8115 | 2.206064376831055 | 0.468 | -517.8718872070312
38 | 0.18521691981805574 | 0.9516915137614679 | 0.6322747235298156 | 0.8285 | 2.3889957838058473 | 0.442 | -534.465087890625
39 | 0.1733501386068283 | 0.9549885321100917 | 0.6821981153488159 | 0.824 | 2.599137049674988 | 0.4685 | -504.21832275390625
40 | 0.16593316679290676 | 0.9608658256880734 | 0.6724526252746582 | 0.8195 | 2.5538871669769287 | 0.4605 | -549.199951171875
41 | 0.16124511428109004 | 0.9590022935779816 | 0.6649635734558106 | 0.819 | 2.243398488998413 | 0.476 | -489.9410705566406
42 | 0.15438765369424032 | 0.9621559633027523 | 0.6948770933151245 | 0.817 | 2.487890972137451 | 0.473 | -522.72265625
43 | 0.14997433785588368 | 0.9618692660550459 | 0.6774249868392944 | 0.821 | 2.6247399215698244 | 0.4375 | -482.67449951171875
44 | 0.13767852716216253 | 0.9694667431192661 | 0.6959198360443115 | 0.814 | 2.7343350772857664 | 0.4405 | -475.2991943359375
45 | 0.13286951459397417 | 0.9693233944954128 | 0.7113957567214966 | 0.811 | 2.7404118614196777 | 0.4305 | -500.4012145996094
46 | 0.12687091881392198 | 0.9703268348623854 | 0.7047337148189544 | 0.811 | 2.5550957202911375 | 0.4385 | -482.5710144042969
47 | 0.1189959036237603 | 0.9736238532110092 | 0.713346839427948 | 0.8175 | 2.9804114265441894 | 0.3775 | -501.5681457519531
48 | 0.11676391504636598 | 0.9737672018348624 | 0.7431099681854249 | 0.814 | 2.869463623046875 | 0.451 | -528.1535034179688
49 | 0.11110713213272051 | 0.9772075688073395 | 0.7323195285797119 | 0.816 | 2.6031761779785154 | 0.4505 | -474.4100341796875
50 | 0.1047732411379661 | 0.9806479357798165 | 0.744730768918991 | 0.813 | 2.5357930641174318 | 0.4895 | -487.05621337890625
51 | 0.09583693119022277 | 0.9826548165137615 | 0.8022164030075073 | 0.8095 | 3.1104025211334227 | 0.447 | -490.581298828125
52 | 0.10099407305958075 | 0.9784977064220184 | 0.7597285175323486 | 0.8055 | 2.6702420616149904 | 0.4545 | -533.0758666992188
53 | 0.09089653754453046 | 0.9819380733944955 | 0.7602268660068512 | 0.806 | 2.7666990909576414 | 0.4405 | -439.62158203125
54 | 0.08199577057443627 | 0.9853784403669725 | 0.7630892624855041 | 0.8095 | 2.784845500946045 | 0.443 | -448.2543029785156
55 | 0.07803322344061432 | 0.9883887614678899 | 0.7588543796539307 | 0.8105 | 2.664212951660156 | 0.453 | -464.4847717285156
56 | 0.07864666974530854 | 0.9866685779816514 | 0.7880478463172913 | 0.805 | 2.79468736076355 | 0.4595 | -500.2763977050781
57 | 0.08032682755056324 | 0.9869552752293578 | 0.8036776928901672 | 0.811 | 3.1448870315551756 | 0.4535 | -473.51458740234375
58 | 0.07295533192745589 | 0.9896788990825688 | 0.7827991342544556 | 0.8155 | 3.0778708381652833 | 0.436 | -464.18511962890625
59 | 0.06653773314704042 | 0.9899655963302753 | 0.8149277952909469 | 0.8115 | 2.9670970649719237 | 0.48 | -420.266845703125
60 | 0.06308793549964187 | 0.9926892201834863 | 0.7995745086669922 | 0.8025 | 2.8996993675231932 | 0.4145 | -411.9588317871094
61 | 0.06076276474931371 | 0.9931192660550459 | 0.8404720320701599 | 0.8105 | 3.5321228542327883 | 0.406 | -446.5159912109375
62 | 0.060829517833136636 | 0.9921158256880734 | 0.8385009425878525 | 0.807 | 3.000107364654541 | 0.451 | -470.04345703125
