epoch | classifier_loss | classifier_acc | source_val_loss | source_val_acc | target_val_loss | target_val_acc | critic_loss
0 | 0.901682271049657 | 0.8033256880733946 | 0.31857849192619325 | 0.9305 | 1.0946974420547486 | 0.6445 | -882.1671142578125
1 | 0.3071193982154951 | 0.9287557339449541 | 0.2538916790485382 | 0.9415 | 0.8820388622283936 | 0.722 | -1535.0872802734375
2 | 0.21276832891440173 | 0.9509747706422018 | 0.2008846538066864 | 0.959 | 0.7557627758979797 | 0.768 | -1191.2501220703125
3 | 0.16246194884591147 | 0.9624426605504587 | 0.14020312702655793 | 0.967 | 0.666623740196228 | 0.7955 | -912.4078979492188
4 | 0.1336376600719373 | 0.9698967889908257 | 0.11024742555618286 | 0.968 | 0.5610177640914917 | 0.828 | -792.5676879882812
5 | 0.1149020034033771 | 0.9750573394495413 | 0.09844441723823548 | 0.9715 | 0.5137475588321686 | 0.8365 | -713.910400390625
6 | 0.09741477458096973 | 0.9780676605504587 | 0.10592691165208816 | 0.9745 | 0.47171478939056394 | 0.8505 | -639.4895629882812
7 | 0.08648024813844524 | 0.9826548165137615 | 0.08733213794231415 | 0.9755 | 0.4543691029548645 | 0.8605 | -591.8078002929688
8 | 0.0747696071042927 | 0.984375 | 0.08521939596533776 | 0.976 | 0.4585359559059143 | 0.859 | -541.9578247070312
9 | 0.06872107181698084 | 0.9869552752293578 | 0.08250598502159119 | 0.976 | 0.47332755899429324 | 0.861 | -501.53631591796875
10 | 0.06383609904164295 | 0.9882454128440367 | 0.08666374391317368 | 0.977 | 0.4691595289707184 | 0.857 | -482.65936279296875
11 | 0.0562515695229036 | 0.9889621559633027 | 0.07899681294709444 | 0.977 | 0.45216611289978026 | 0.86 | -457.1094970703125
12 | 0.05149326531575361 | 0.9915424311926605 | 0.08322940629720688 | 0.9735 | 0.4671110005378723 | 0.8595 | -432.587646484375
13 | 0.0484042336925044 | 0.9908256880733946 | 0.07553819489479065 | 0.976 | 0.45271744346618653 | 0.866 | -413.7801208496094
14 | 0.04260444275419646 | 0.9919724770642202 | 0.07300527000427245 | 0.9785 | 0.47297243213653567 | 0.862 | -397.07769775390625
15 | 0.037167354461249955 | 0.9949827981651376 | 0.07625170654058457 | 0.976 | 0.4600580155849457 | 0.864 | -373.6382751464844
16 | 0.03961757467974217 | 0.9931192660550459 | 0.07074714900553226 | 0.9775 | 0.452363166809082 | 0.8695 | -364.0563049316406
17 | 0.0334450119354446 | 0.9956995412844036 | 0.07351347452402116 | 0.9765 | 0.4534256155490875 | 0.8715 | -348.1725769042969
18 | 0.030422617843665116 | 0.9959862385321101 | 0.0839718780517578 | 0.974 | 0.46190006256103516 | 0.8715 | -334.9859313964844
