epoch | train_loss | train_acc | val_loss | val_acc
0 | 0.20952573777348907 | 0.9382233796296297 | 0.36583058547973635 | 0.8965
1 | 0.14022405348994113 | 0.9555844907407407 | 0.31223654961586 | 0.9185
2 | 0.07229180506396073 | 0.9774305555555556 | 0.2294444617033005 | 0.9445
3 | 0.06105531924576671 | 0.9809027777777778 | 0.21954290771484375 | 0.943
4 | 0.035245729274012975 | 0.9908854166666666 | 0.2028416769504547 | 0.9475
5 | 0.03577027882069901 | 0.9897280092592593 | 0.1954779659509659 | 0.951
6 | 0.02074725870732908 | 0.9940682870370371 | 0.19310518980026245 | 0.954
7 | 0.02190025916961194 | 0.9937789351851852 | 0.18975553381443025 | 0.9545
8 | 0.017054650121954857 | 0.9946469907407407 | 0.20750605440139772 | 0.953
9 | 0.011828186867879358 | 0.9973958333333334 | 0.19927832233905793 | 0.9575
10 | 0.010413619961279133 | 0.9982638888888888 | 0.21293464803695678 | 0.957
11 | 0.011572137860908967 | 0.9965277777777778 | 0.2419212384223938 | 0.958
12 | 0.00949328717197878 | 0.9976851851851852 | 0.22652985978126525 | 0.9595
13 | 0.01524202531975418 | 0.9959490740740741 | 0.2389901120662689 | 0.9585
14 | 0.01373483980919614 | 0.9968171296296297 | 0.23213924598693847 | 0.9565
15 | 0.005603132039174886 | 0.9992766203703703 | 0.1962198257446289 | 0.961
16 | 0.004870097710712192 | 0.9992766203703703 | 0.22911085772514345 | 0.9565
17 | 0.005914183565268845 | 0.9989872685185185 | 0.21924704742431642 | 0.962
18 | 0.0033924150177174145 | 0.9992766203703703 | 0.2343133645057678 | 0.9595
19 | 0.004388085114543274 | 0.9992766203703703 | 0.24170580985955895 | 0.9565
20 | 0.0027964718771087333 | 0.9992766203703703 | 0.23304068332910538 | 0.96
21 | 0.0034505660134729827 | 0.9992766203703703 | 0.2269839448928833 | 0.959
22 | 0.003850625156364576 | 0.9994212962962963 | 0.2131633234024048 | 0.958
23 | 0.005748099133564177 | 0.9985532407407407 | 0.23928564941883088 | 0.96
24 | 0.006445388365170435 | 0.9984085648148148 | 0.21194279050827025 | 0.96
25 | 0.009084730890915833 | 0.9978298611111112 | 0.25345777702331546 | 0.957
26 | 0.00685751206657625 | 0.9978298611111112 | 0.27046417820453644 | 0.954
27 | 0.00929074004482202 | 0.9978298611111112 | 0.22880621337890625 | 0.9635
28 | 0.004945677375535188 | 0.9989872685185185 | 0.21552705121040344 | 0.9675
29 | 0.002086266707111564 | 0.9994212962962963 | 0.23542168444395065 | 0.966
