epoch | train_loss | train_acc | val_loss | val_acc
0 | 0.17178473331102537 | 0.9521215596330275 | 0.17286387085914612 | 0.9445
1 | 0.0861686586205839 | 0.9754873853211009 | 0.10006700724363327 | 0.965
2 | 0.06699013105089512 | 0.976920871559633 | 0.09069348059594631 | 0.9675
3 | 0.043421369387742575 | 0.9868119266055045 | 0.08082497248053551 | 0.9765
4 | 0.03200463746426576 | 0.9899655963302753 | 0.07066513349115848 | 0.979
5 | 0.024284136195350952 | 0.991829128440367 | 0.07618371614813804 | 0.981
6 | 0.009285312548862907 | 0.9975630733944955 | 0.05522398768365383 | 0.981
7 | 0.007140681768768604 | 0.9981364678899083 | 0.0589568977211602 | 0.9835
8 | 0.010245126585578631 | 0.9964162844036697 | 0.07496151421964169 | 0.9805
9 | 0.0052348209850473 | 0.9988532110091743 | 0.05373858503630618 | 0.987
10 | 0.0020124307284444046 | 0.9995699541284404 | 0.05503848491515964 | 0.9865
11 | 0.007951204911052728 | 0.9977064220183486 | 0.07342586395233229 | 0.982
12 | 0.0014649156507127597 | 1.0 | 0.0556453906823881 | 0.986
13 | 0.0002445409982351729 | 1.0 | 0.05826079904055223 | 0.9865
14 | 0.00012262053126405506 | 1.0 | 0.05451634053612361 | 0.987
15 | 9.689982684361594e-05 | 1.0 | 0.05705885187303648 | 0.987
16 | 8.178838158419906e-05 | 1.0 | 0.05802672870441711 | 0.987
17 | 6.88045200237257e-05 | 1.0 | 0.05918869028319022 | 0.9865
18 | 6.119274182494187e-05 | 1.0 | 0.05990373219113099 | 0.9865
19 | 5.3900615040812566e-05 | 1.0 | 0.06071604377375752 | 0.987
20 | 4.8580443723840954e-05 | 1.0 | 0.06188290713414608 | 0.987
21 | 4.3654822457237385e-05 | 1.0 | 0.06260716379387304 | 0.9865
22 | 3.9421371082075604e-05 | 1.0 | 0.06236494860681523 | 0.987
23 | 3.591888194836879e-05 | 1.0 | 0.06372054696887426 | 0.987
24 | 3.2914439710032494e-05 | 1.0 | 0.06442858022223345 | 0.987
25 | 3.0428503398754668e-05 | 1.0 | 0.06487277440236358 | 0.987
26 | 2.787333074909363e-05 | 1.0 | 0.06524220118951052 | 0.987
27 | 2.5730554132286493e-05 | 1.0 | 0.06618874218254905 | 0.987
28 | 2.392070998061956e-05 | 1.0 | 0.06624417996714146 | 0.987
29 | 2.2198149701200753e-05 | 1.0 | 0.06747950120348832 | 0.987
