epoch | classifier_loss | classifier_acc | source_val_loss | source_val_acc | target_val_loss | target_val_acc | critic_loss
0 | 0.9361422324399336 | 0.7484231651376146 | 0.5867539801597595 | 0.8475 | 1.0418962297439576 | 0.7025 | -1214.014404296875
1 | 0.35336894904254773 | 0.9105504587155964 | 0.3640500793457031 | 0.9035 | 0.8915489959716797 | 0.708 | -1284.36328125
2 | 0.21594898081427322 | 0.9495412844036697 | 0.2929409242868423 | 0.9185 | 0.7584559154510498 | 0.761 | -978.4562377929688
3 | 0.15928604214563283 | 0.9654529816513762 | 0.23787672805786134 | 0.9345 | 0.6398484117984772 | 0.793 | -893.4635009765625
4 | 0.12355537316121093 | 0.9750573394495413 | 0.21335432797670364 | 0.941 | 0.5880871467590332 | 0.8055 | -721.5076904296875
5 | 0.102567055219904 | 0.9774942660550459 | 0.19867568242549896 | 0.9435 | 0.5736541438102722 | 0.804 | -602.428466796875
6 | 0.08884312202214101 | 0.9803612385321101 | 0.1737376806139946 | 0.9515 | 0.5369684021472931 | 0.828 | -568.8897094726562
7 | 0.07933844347407512 | 0.9817947247706422 | 0.18039467149972915 | 0.9545 | 0.7293780465126037 | 0.764 | -515.6358642578125
8 | 0.07394258442138313 | 0.9845183486238532 | 0.16361578112840652 | 0.9525 | 0.520113881111145 | 0.8275 | -481.57037353515625
9 | 0.06758667979765376 | 0.9838016055045872 | 0.16994564241170884 | 0.9505 | 0.5589861626625061 | 0.8115 | -445.1166076660156
10 | 0.06170763912687608 | 0.9866685779816514 | 0.15540968805551528 | 0.954 | 0.5504887573719025 | 0.814 | -429.091552734375
11 | 0.05521758292041241 | 0.9875286697247706 | 0.15946305859088897 | 0.9525 | 0.6588339848518372 | 0.77 | -409.877685546875
12 | 0.05248826927582332 | 0.9895355504587156 | 0.1507365038394928 | 0.9555 | 0.5816523413658142 | 0.7995 | -386.70648193359375
13 | 0.04766670570905329 | 0.9899655963302753 | 0.1432598537504673 | 0.9595 | 0.5994887728691101 | 0.795 | -367.16839599609375
14 | 0.04500509014165183 | 0.9908256880733946 | 0.14795781511068345 | 0.955 | 0.49794276332855225 | 0.8335 | -346.576416015625
15 | 0.04133552570887115 | 0.9903956422018348 | 0.15496906208992003 | 0.9555 | 0.5386959462165832 | 0.82 | -332.0715026855469
16 | 0.04022687234394594 | 0.9924025229357798 | 0.1485464189052582 | 0.9555 | 0.5427981600761413 | 0.818 | -316.0920104980469
17 | 0.03733184473982098 | 0.9922591743119266 | 0.1450960510969162 | 0.957 | 0.5409676146507263 | 0.8245 | -299.9950866699219
18 | 0.034084813062682615 | 0.9939793577981652 | 0.1398165488690138 | 0.956 | 0.49578553628921507 | 0.8325 | -294.69635009765625
19 | 0.03149661549512263 | 0.9949827981651376 | 0.14064420694112778 | 0.9575 | 0.6070567646026611 | 0.8015 | -277.8951721191406
20 | 0.029761722661691522 | 0.9949827981651376 | 0.1479418738782406 | 0.9575 | 0.6004344720840454 | 0.8035 | -274.3235778808594
21 | 0.02875290880697446 | 0.9951261467889908 | 0.15190732875466348 | 0.9505 | 0.5477534413337708 | 0.825 | -259.74578857421875
22 | 0.026122547318697523 | 0.9967029816513762 | 0.1475928899049759 | 0.9555 | 0.6787634868621826 | 0.7785 | -252.2213897705078
23 | 0.026024414794604985 | 0.9956995412844036 | 0.161000204205513 | 0.95 | 0.587112271308899 | 0.809 | -247.1133270263672
24 | 0.02550565887994449 | 0.9962729357798165 | 0.1413448315411806 | 0.959 | 0.5917638373374939 | 0.8105 | -234.62551879882812
25 | 0.02232781001751166 | 0.9969896788990825 | 0.14248743049055337 | 0.959 | 0.4932183198928833 | 0.8445 | -234.3284454345703
26 | 0.02379760992448401 | 0.9956995412844036 | 0.13865266591310502 | 0.9585 | 0.5151662955284119 | 0.8355 | -225.48069763183594
27 | 0.02001379417050459 | 0.9974197247706422 | 0.1409317179918289 | 0.956 | 0.5244953427314758 | 0.831 | -213.12879943847656
28 | 0.019169942215255916 | 0.9977064220183486 | 0.13914475977420807 | 0.9595 | 0.5297176320552826 | 0.833 | -209.31689453125
