epoch | classifier_loss | classifier_acc | source_val_loss | source_val_acc | target_val_loss | target_val_acc | critic_loss
0 | 0.8743548047378522 | 0.7815366972477065 | 0.4870000387430191 | 0.8785 | 2.7289633464813234 | 0.1785 | -880.0240478515625
1 | 0.3433103635223634 | 0.9281823394495413 | 0.3755019983053207 | 0.907 | 2.494651319503784 | 0.211 | -1848.20703125
2 | 0.23413912036003323 | 0.9501146788990825 | 0.29232900774478915 | 0.9235 | 2.668506223678589 | 0.2285 | -1325.5743408203125
3 | 0.1666651323027567 | 0.9650229357798165 | 0.22969394254684447 | 0.943 | 2.9699788703918455 | 0.2165 | -1015.8006591796875
4 | 0.13345054345666815 | 0.971473623853211 | 0.2053123896121979 | 0.9455 | 2.943723756790161 | 0.225 | -839.0839233398438
5 | 0.11353251922431343 | 0.9756307339449541 | 0.19618430250883104 | 0.947 | 3.2378026371002195 | 0.224 | -735.2268676757812
6 | 0.09406094089013721 | 0.9799311926605505 | 0.18045673006772994 | 0.9475 | 3.429563108444214 | 0.2105 | -645.7767944335938
7 | 0.08561960457388414 | 0.9830848623853211 | 0.17817643773555755 | 0.952 | 3.2436867752075194 | 0.2275 | -597.6080932617188
8 | 0.0749958715478488 | 0.9852350917431193 | 0.1637316593080759 | 0.951 | 3.4836914234161376 | 0.2155 | -554.605712890625
9 | 0.06743670885510948 | 0.9865252293577982 | 0.18282483613491057 | 0.9505 | 3.5213623428344727 | 0.2265 | -520.1927490234375
10 | 0.06532667344008837 | 0.9860951834862385 | 0.14948043583333492 | 0.9585 | 3.3348031730651857 | 0.236 | -498.28692626953125
11 | 0.05851068615127321 | 0.9879587155963303 | 0.1669169701039791 | 0.9555 | 3.6381106510162353 | 0.2305 | -473.7669677734375
12 | 0.0534564652864676 | 0.9901089449541285 | 0.1684737941622734 | 0.956 | 3.6807621116638183 | 0.2345 | -443.4509582519531
13 | 0.04688442965815647 | 0.9922591743119266 | 0.15813712668418883 | 0.9575 | 3.5271300201416014 | 0.232 | -422.2043762207031
14 | 0.04492511284546158 | 0.9919724770642202 | 0.15445125132799148 | 0.956 | 3.739992628097534 | 0.2405 | -400.77471923828125
15 | 0.04084125483288951 | 0.9921158256880734 | 0.16073436760902404 | 0.956 | 3.634358823776245 | 0.242 | -383.9643249511719
16 | 0.03944915285709938 | 0.9931192660550459 | 0.16550150713324546 | 0.9575 | 3.76659264755249 | 0.2195 | -364.0229187011719
17 | 0.03818437876607027 | 0.9936926605504587 | 0.150093805372715 | 0.96 | 3.847205331802368 | 0.227 | -357.8056945800781
18 | 0.03423264142501792 | 0.9946961009174312 | 0.15092625662684442 | 0.9605 | 3.7517249450683594 | 0.2195 | -352.8620300292969
19 | 0.03313993667722295 | 0.9941227064220184 | 0.16300899863243104 | 0.958 | 4.057215803146362 | 0.2245 | -338.8077697753906
20 | 0.03126354496755184 | 0.9948394495412844 | 0.14564175724983217 | 0.961 | 3.685283260345459 | 0.235 | -324.8083190917969
21 | 0.029131748901526314 | 0.9954128440366973 | 0.15768326273560523 | 0.96 | 4.199114530563355 | 0.2085 | -319.5221862792969
22 | 0.027267660625244772 | 0.9965596330275229 | 0.13952638924121857 | 0.9665 | 3.9634531326293945 | 0.231 | -314.1692199707031
23 | 0.026120703069305203 | 0.9971330275229358 | 0.15814735420048237 | 0.96 | 4.249256170272827 | 0.226 | -291.32464599609375
